Mods count: 129
 
                                     jar name                                       |    notes     |           mod id           |            mod name            |         mod version          |                                                                                                                                       mixin configs                                                                                                                                        |              modrinth hash               | curseforge hash
architectury-9.2.14-forge.jar                                                       |              | architectury               | Architectury                   | 9.2.14                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                  | a52918a500ff421180a1cbd1a0cabee712134ec4 | 98480002       
artifacts-forge-9.5.19.jar                                                          |              | artifacts                  | Artifacts                      | 9.5.19                       | mixins.artifacts.forge.json, mixins.artifacts.common.json                                                                                                                                                                                                                                  | 91ab6fc2cc208550f7fc37c43e42eba81eff318e | 530214686      
    /META-INF/jars/expandability-forge-9.0.4.jar                                    |              | expandability              | ExpandAbility                  | 9.0.4                        | expandability.mixins.json, expandability-common.mixins.json                                                                                                                                                                                                                                |                                          |                
badpackets-forge-0.4.3.jar                                                          |              | badpackets                 | Bad Packets                    | 0.4.3                        | badpackets.mixins.json                                                                                                                                                                                                                                                                     | 34b4ae0b51fe8bb55529dd20968bf58e20b4a21e | 753944455      
balm-forge-1.20.1-7.3.39-all.jar                                                    |              | balm                       | Balm                           | 7.3.39                       | balm.mixins.json                                                                                                                                                                                                                                                                           | 8746afe54616cad01514e6f1c6a16dc0839ea5c4 | 1291647419     
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                              |              | kuma_api                   | KumaAPI                        | 20.1.12                      | kuma_api.forge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                           |                                          |                
bettercombat-forge-1.9.0+1.20.1.jar                                                 |              | bettercombat               | Better Combat                  | 1.9.0+1.20.1                 | bettercombat.mixins.json                                                                                                                                                                                                                                                                   | ea7e7247132cb3acacadd96b2b6b635c4cc63a74 | 1449708850     
bloodmagic-1.20.1-3.3.7-49.jar                                                      |              | bloodmagic                 | Blood Magic                    | 3.3.7-49                     | bloodmagic.mixins.json                                                                                                                                                                                                                                                                     | c3966f3dc894f3d1594aa7617cf6dd7be0a204a4 | 82214287       
blueprint-1.20.1-7.1.4.jar                                                          |              | blueprint                  | Blueprint                      | 7.1.3                        | blueprint.mixins.json                                                                                                                                                                                                                                                                      | 10ee193ad755b03eceb0791a6f5257755feebcfe | 3867555674     
Bookshelf-Forge-1.20.1-20.2.15.jar                                                  |              | bookshelf                  | Bookshelf                      | 20.2.15                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json                                                                                                                                                                                                                                  | 9df4908f606c6dc62a358b3e04e3fdedba59a12c | 4263061721     
Botania-1.20.1-454-FORGE.jar                                                        |              | botania                    | Botania                        | 1.20.1-454-FORGE             | botania_forge.mixins.json, botania_xplat.mixins.json                                                                                                                                                                                                                                       | 7e167de1c70738fd9f29a00556f1c5ebb1daf34d | 3773314933     
cloth-config-11.1.136-forge.jar                                                     |              | cloth_config               | Cloth Config v10 API           | 11.1.136                     |                                                                                                                                                                                                                                                                                            | c65d07748acc57ceb45d53b3964368b84f34d54f | 635589968      
cofh_core-1.20.1-11.0.2.56.jar                                                      |              | cofh_core                  | CoFH Core                      | 11.0.2                       | mixins.cofhcore.json, mixins.cofhcore.refmap.json                                                                                                                                                                                                                                          | 6f7c0056fece31bf393df450d79482810ed444af | 3041669468     
collective-1.20.1-8.39.jar                                                          |              | collective                 | Collective                     | 8.39                         | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json                                                                                                                                                                                            | 4622cf120fd3eb82972dc6634d6a5910d04e3c91 | 2974885765     
Corgilib-Forge-1.20.1-4.0.3.4.jar                                                   |              | corgilib                   | CorgiLib                       | 4.0.3.4                      | corgilib-common.mixins.json                                                                                                                                                                                                                                                                | 4b08e5f8f2580842eacd5388458a0b52411a9fb2 | 3208777550     
crafting-dead-core-1.20.1-1.9.4.10-all.jar                                          |              | craftingdead               | Crafting Dead                  | 1.20.1-1.9.4.10              | craftingdead.mixins.json                                                                                                                                                                                                                                                                   | 184e1c0033bfc30725f004b0c5106e31f7605d0d | 309500003      
    /META-INF/jarjar/sentry-6.34.0.jar                                              |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
crafting-dead-decoration-1.20.1-1.0.6.10.jar                                        |              | craftingdeaddecoration     | Crafting Dead Decoration       | 1.20.1-1.0.6.10              |                                                                                                                                                                                                                                                                                            | 209ef87a9f1b9971ea139fb3dcb94807a951abf9 | 1356190583     
crafting-dead-survival-1.20.1-1.2.5.10.jar                                          |              | craftingdeadsurvival       | Crafting Dead Survival         | 1.20.1-1.2.5.10              | craftingdeadsurvival.mixins.json                                                                                                                                                                                                                                                           | 1a8ad2fd7f2854bbf4c1b7ce391ec6a672333bf4 | 664356964      
crafting-dead-worldguard-1.20.1-0.0.6.10.jar                                        |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            | 9adc30c5b86d00f3a1a1a2bda4070408f90d08eb | 3003070273     
create-1.20.1-6.0.8.jar                                                             |              | create                     | Create                         | 6.0.8                        | create.mixins.json                                                                                                                                                                                                                                                                         | b13d912b9247a38d66d11598c121442585a1c1e9 | 2156032012     
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar                                 |              | ponder                     | Ponder                         | 1.0.91                       | ponder-common.mixins.json, ponder.mixins.json                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                    |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.5.jar                                |              | flywheel                   | Flywheel                       | 1.0.5                        | flywheel.impl.mixins.json, flywheel.backend.mixins.json                                                                                                                                                                                                                                    |                                          |                
CreativeCore_FORGE_v2.12.39_mc1.20.1.jar                                            |              | creativecore               | CreativeCore                   | 2.12.39                      | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json                                                                                                                                                                                                  | aef9a8ebdf0be50b6bd8da8ab4153f5085f71a80 | 3260091100     
curios-forge-5.14.1+1.20.1.jar                                                      |              | curios                     | Curios API                     | 5.14.1+1.20.1                | curios.mixins.json                                                                                                                                                                                                                                                                         | 452175b95ad3db6ff58bb8968f6bf7a9d1e0f480 | 1288931317     
Data_Anchor-forge-1.20.1-1.0.0.20.jar                                               |              | dataanchor                 | Data Anchor                    | 1.0.0.20                     | dataanchor-common.mixins.json, dataanchor.mixins.json                                                                                                                                                                                                                                      | f16089cc8af8e5dca8f5a14dc7bab11840d9b9a8 | 67469579       
DeltaForce Melee Pack-0.2.0.jar                                                     |              | delta_wt                   | DeltaForce Melee Pack          | 0.2.0                        |                                                                                                                                                                                                                                                                                            | 8477f6d8f7c589baa54a7d54d8890da2ae756ac7 | 3378135664     
dyairdrop-1.1.0-1.20.1-beta.jar                                                     | MCreator mod | dyairdrop                  | Dyairdrop                      | 1.0.0                        |                                                                                                                                                                                                                                                                                            | c5d6bd36d83dd23afa7a0a9ed34d49f2099ab590 | 1583075243     
embeddium-0.3.31+mc1.20.1.jar                                                       |              | embeddium                  | Embeddium                      | 0.3.31+mc1.20.1              | embeddium.mixins.json                                                                                                                                                                                                                                                                      | bb2fa8f3e493af16af9160d049f96c614a1faf2f | 4281946638     
EnderIO-1.20.1-6.2.18-beta-all.jar                                                  |              | enderio                    | Ender IO                       | 6.2.18-beta                  | mixins.enderio.json, mixins.enderio-machines.json, mixins.enderio-machines.refmap.json, mixins.enderio.refmap.json                                                                                                                                                                         | 33587f98f2d96507de0e9d2f57f5ab35328ace7d | 643940021      
    /META-INF/jarjar/GraphLib3-3.0.7.jar                                            |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
